row ID,row m/z,row retention time,Blank_neg.mzML Peak area,S01_neg.mzML Peak area,S02_neg.mzML Peak area,S03_neg.mzML Peak area,S04_neg.mzML Peak area,S05_neg.mzML Peak area,S06_neg.mzML Peak area,S07_neg.mzML Peak area,S08_neg.mzML Peak area,S09_neg.mzML Peak area,S10_neg.mzML Peak area,S11_neg.mzML Peak area,S12_neg.mzML Peak area,S13_neg.mzML Peak area,S14_neg.mzML Peak area,S15_neg.mzML Peak area,S16_neg.mzML Peak area,S17_neg.mzML Peak area,S18_neg.mzML Peak area,S19_neg.mzML Peak area,S20_neg.mzML Peak area,S21_neg.mzML Peak area,S22_neg.mzML Peak area,S23_neg.mzML Peak area,S24_neg.mzML Peak area,S25_neg.mzML Peak area,S26_neg.mzML Peak area,S27_neg.mzML Peak area,S28_neg.mzML Peak area,S29_neg.mzML Peak area,S30_neg.mzML Peak area,S31_neg.mzML Peak area,S32_neg.mzML Peak area,S34_neg.mzML Peak area,S35_neg.mzML Peak area,S36_neg.mzML Peak area,S37_neg.mzML Peak area,S38_neg.mzML Peak area,S39_neg.mzML Peak area,S40_neg.mzML Peak area,S41_neg.mzML Peak area,S42_neg.mzML Peak area,S43_neg.mzML Peak area,S44_neg.mzML Peak area,S45_neg.mzML Peak area,S46_neg.mzML Peak area,S47_neg.mzML Peak area,S48_neg.mzML Peak area,S49_neg.mzML Peak area,S50_neg.mzML Peak area,
7131,571.2889724707444,17.018915,0,7622.335,39676.824,1148.6482,63752.97,24791.293,4594.862,18415.008,123583.305,7469.389,60829.598,32794.73,30594.16,50646.26,95063.266,22559.92,62104.3,35716.168,6818.339,14598.056,0,56668.977,42864.266,72337.18,101739.58,3630.416,8749.088,28523.54,31996.148,4575.389,46990.027,11483.754,43175.75,247268.19,54985.64,13498.129,5553.75,7597.8394,4601.846,265206.34,3545.5762,4991.0767,0,19777.445,11261.0625,0,14401.39,51359.8,28867.398,35901.223,
725,573.0687922766303,0.66059256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21595.533,21816.393,4420.2354,0,0,0,0,0,0,0,
6242,573.4520775228339,16.668043,0,15531.254,5275.1543,4650.9775,9125.763,722.037,1146.4834,574.4046,3780.889,833.7898,5713.3545,11454.951,13947.393,4900.147,4832.1797,2612.7715,18224.924,4324.5444,587.88367,2619.4233,630.1835,1634.1702,677.93054,11571.322,13054.762,3889.685,0,2149.842,592.025,2282.3442,0,39252.91,4374.0557,42918.04,29886.857,0,6960.943,2300.5967,750.3853,0,4382.792,4363.907,2568.4268,999.3019,0,0,10084.17,7146.5317,104994.35,1994.1938,
4725,573.4521902234114,16.042995,0,58654.883,47291.92,18527.324,24919.87,28058.697,8428.352,2807.1882,5761.2207,16384.139,20224.104,45129.395,37152.312,51411.39,17673.938,17433.547,34340.2,10897.472,4315.0195,17822.941,7755.2676,18870.682,16713.865,102500.1,55915.234,22446.488,0,31537.596,35808.824,13731.715,15306.678,40917.016,18088.814,122942.41,51642.6,0,24443.44,25508.916,7010.8096,12881.979,34544.23,55802.777,20148.496,35125.184,12952.842,1330.4127,52591.133,44547.844,76344.016,29443.994,
3951,575.4677309315111,15.6861515,0,6215.089,4695.3022,1907.5552,818.7486,1017.0045,0,0,603.13074,0,3310.2402,4698.2334,8386.214,4324.7256,880.735,656.40784,2591.2568,792.63367,0,0,0,829.8309,545.99023,14999.294,35016.312,760.69476,0,2818.9404,686.428,0,0,5909.8887,1423.1128,53165.1,3087.799,0,1885.1775,1607.84,0,0,614.3567,3413.6948,0,739.52155,0,0,647.22876,2053.2175,6667.009,761.3351,
4878,575.4679084268697,16.11399,0,15069.708,2741.8164,575.4773,544.5429,1507.9581,0,0,541.7201,0,2525.712,12509.243,6232.021,4751.7046,1198.0679,587.29987,1395.9512,769.60864,0,563.29736,0,1452.8019,549.86414,14083.873,23634.326,1760.4648,0,3625.7737,1027.3584,0,0,6120.8574,648.83887,50902.98,1457.0988,0,4543.5464,738.08405,0,0,808.83795,4265.4966,0,1246.6782,0,0,2627.6113,545.33734,3259.4395,823.7245,
447,576.5649149546622,0.62404245,0,58740.695,64025.188,27375.139,36856.977,50787.28,29945.246,37521.7,44756.266,39928.61,44269.25,65396.164,40566.44,43804.746,37465.168,51795.7,42204.406,42115.85,11564.93,50135.52,3319.7917,42873.17,42422.195,45896.746,47572.895,39855.016,44924.324,43940.367,41728.664,54433.402,48387.336,46676.797,45637.36,59477.926,55080.03,62841.086,32388.545,47759.957,45517.27,49773.31,21883.928,20994.643,27893.78,48418.36,50505.62,13931.766,52302.14,45257.555,38713.527,44577.547,
104,576.863245010025,0.5637172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32539.805,28211.521,23555.898,0,0,0,0,0,0,0,
5777,577.3741852172071,16.49064,0,2363.447,1075.1482,6809.75,3726.6394,0,0,0,8939.753,9105.715,3919.9727,6190.0063,4016.1511,2354.8809,2867.7402,1152.8494,7631.204,7361.4194,0,3619.4626,566.00525,20878.184,25063.635,33087.816,98450.836,0,7334.4155,769.81915,2763.0796,1829.4135,736.5566,16471.035,7869.807,81575.914,13971.403,1279.3167,1402.7454,838.52625,0,12777.52,3461.878,5047.44,553.45,6062.414,572.9348,0,2197.078,8509.046,13999.661,5351.2754,
2524,578.3020260678028,13.920202,0,4467.051,1145.8185,1275.3248,5130.4,2705.8862,2768.9243,5053.501,861.91064,3539.4736,714.82886,2274.9426,4285.0674,3566.609,0,668.46765,4370.852,7681.821,6599.8105,5270.5645,12325.285,18407.13,50572.137,6033.9814,3623.0273,6528.5273,4966.2637,14581.457,6653.5444,626.9197,3765.2983,694.4805,0,4671.9004,51421.703,5117.3896,7209.9434,10283.699,2021.6947,547.71246,2217.1216,5337.278,1255.133,7629.004,2992.1487,694.46906,5172.542,1846.8539,26650.53,0,
