"row.ID","row.m.z","row.retention.time","S41_neg.mzML","S42_neg.mzML","S43_neg.mzML","S46_neg.mzML","S21_neg.mzML","S22_neg.mzML","S23_neg.mzML","S24_neg.mzML","S25_neg.mzML","S26_neg.mzML","S27_neg.mzML","S28_neg.mzML","S29_neg.mzML","S30_neg.mzML","S31_neg.mzML","S32_neg.mzML","S34_neg.mzML","S35_neg.mzML","S36_neg.mzML","S37_neg.mzML","S38_neg.mzML","S39_neg.mzML","S40_neg.mzML","S01_neg.mzML","S02_neg.mzML","S03_neg.mzML","S04_neg.mzML","S05_neg.mzML","S06_neg.mzML","S07_neg.mzML","S08_neg.mzML","S09_neg.mzML","S10_neg.mzML","S11_neg.mzML","S12_neg.mzML","S13_neg.mzML","S14_neg.mzML","S15_neg.mzML","S16_neg.mzML","S17_neg.mzML","S18_neg.mzML","S19_neg.mzML","S20_neg.mzML"
6994,172.061969393004,16.935555,19523.387,48707.22,115058.08,52544.49,67296.445,124650.61,45510.473,36781.254,70924.484,33240.176,53157.23,46255.133,105807.02,66364.75,93014.38,30076.037,26037.107,27535.775,89868.62,37090.754,57091.133,55558.32,114713.375,44766.23,31103.809,69505.266,48040.77,98761.77,146478.83,37275.28,42418.652,33212.152,40801.28,54693.418,18153.93,66499.2,56002.44,13535.574,120016.805,36399.72,21315.012,131265.94,36619.32
4652,172.061970153599,16.064089,841110.94,268076.78,1229020.1,1257902.1,1616816.8,364706.5,202882.52,753530.06,1447209.6,197180.84,195735.42,213344.19,625747.06,988656.06,234236.48,228310.12,1043301.6,283499.78,1663664,446965,457752.2,301329.78,503662.34,687993.25,724534.1,484995.97,1357268.4,340497.62,170052.05,221256.42,560031.25,511334.12,346310.1,791143.44,732717.94,208273.06,450254.4,274356.22,281498.62,516747.28,1312019,937567.2,1300468.4
1633,173.081088920193,6.610568,152686.17,242963.52,152673.83,181628.45,190151.03,243732.62,158248.42,160208.83,171087,161628.75,148826.2,224490.78,141067.3,247546.92,146846.6,235676.75,158336.53,148504.81,239772.4,203154.6,219266.06,232688.88,200600.17,150513.06,168514.56,184768.06,248541.53,148113.11,204092.83,209244.5,165004.42,252868.45,213507.3,146326.23,171670.78,246646.34,224775.73,146285.55,200623.66,216093.8,284282.72,199734.45,186756.02
5848,173.082394295016,16.457794,34922.984,6696.4546,9696.93,52593.53,172196.52,14133.606,44813.55,56628.14,7075.2793,43661.133,51982.234,5245.725,6473.35,20582.885,15496.158,19118.46,48053.953,59177.91,32696.646,11045.518,8804.718,99933.78,13282.319,21281.793,17941.328,62211.113,20934.783,85440.375,10397.549,12152.977,52128.82,17356.69,34071.02,6581.676,76351.625,9132.868,81661.57,13832.666,15177.121,22828.771,39877.855,48653.207,15640.41
4666,173.082401576982,16.062399,106522.92,102393.22,231320.72,121325.84,91769.9,71961.34,25905.67,68180.39,166081.08,44853.586,108491.945,42930.184,64436.555,18020.822,49221.77,120266.17,53644.297,104939.9,391475.9,163650.16,76803.78,68255.18,42962.613,116776.8,19544.908,101922.32,57000.24,114457.13,91592.445,82056.28,48586.406,112542.914,56180.97,21356.957,141328.64,71770.13,49249.203,114594,46329.812,117528.805,76228.76,196932.61,247108.58
6340,174.077619872338,16.710817,11921.941,25907.39,45718.996,55090.02,60176.09,71054.58,43127.883,26763.998,159643.84,24160.871,41588.945,9167.514,10256.087,36580.363,18949.738,73625.734,56093.926,89705.97,29613.785,61576.137,25420.07,90299.05,11292.41,130732.81,25117.617,18261.697,85540.38,32184.893,87875.74,4758.094,174436.83,9954.191,7948.8145,35325.832,136958.14,19292.684,6657.774,78061.45,41283.79,38127.703,34979.44,11681.629,134330.1
4220,174.077625291064,15.810205,16365.158,54331.707,9127.59,202292.36,198352.08,197929.08,15237.232,24063.508,174989.33,51388.008,26288.57,65743.72,9628.784,5500.198,24040.307,28600.338,31496.18,64666.797,11026.518,108932.37,134586.08,248414.14,12535.006,50150.08,64708.28,32237.584,26250.11,9486.83,186513.78,13892.085,21314.717,24025.848,11346.895,12197.494,18220.55,27264.117,7935.403,115719.664,39103.152,31465.732,29001.656,16338.377,172498.86
4888,174.077628997133,16.060692,129790.69,74268.8,296591.44,165248.77,137404.97,90262.35,43575.477,156118.89,180271.89,57040.89,145951.1,60550.098,49944.242,7323.946,97821.57,63628.84,64261.79,172747.39,442506.16,59085.39,98784.516,83194.46,53929.594,56890.66,60335,126373.45,237726.62,49364.953,54794.742,97690.9,84489.09,135183,32313.092,63182.28,42266.895,243260.53,43542.547,127336.24,120345.52,161676.03,158659.67,244777.97,63353.65
73,174.955223480807,0.51881945,4706208,5090667,4103425.2,189530.62,239.3,9912.251,70074.766,77286.375,4503.588,723.72723,546.9224,58962.332,66353.03,76018.914,23581.402,74525.016,425,70834.61,506.4,7366.2783,74987.02,80182.35,67645.93,78,71489.48,21526.193,19059.902,84652.31,32100.287,518.4,906.4833,79713.48,95.9,73982.72,72498.22,54,65791.7,59726.297,382,74.5,264336.6,35414.746,325310.56
7163,174.955333655479,17.041441,284164.47,397235.25,316372.8,360868.44,296820.06,396136.5,362978.06,348799.56,413293.5,377706.2,323184.97,308855.9,337330.28,339334.78,381802.3,297644.25,360127.16,369049.88,351778.03,296782.25,391627,358704.2,297643.84,333515.7,325187.97,369359.16,366976.38,297749.8,363021.03,301106.06,315199.66,345865.22,348367.44,304924.47,142058.22,329310.7,281262.94,350870.7,346298.88,343918.75,308853.1,373183.3,401525.62
4112,175.061651765366,15.779885,16469.523,6020.672,17290.842,21761.996,102704.516,15688.493,9788.278,8415.146,5578.7373,22927.566,14945.181,13798.867,3439.754,7265.345,51369.555,10097.156,13496.451,37716.562,41471.17,10560.382,48102.14,294383.16,8644.002,13079.199,3960.1257,8131.1084,30930.357,11301.353,22907.867,11708.677,12991.026,6555.422,8033.458,7464.9297,24249.035,13013.844,10292.983,19242.035,11176.896,6269.919,47325.67,54164.773,8821.103
7088,175.061721771399,16.985147,28841.857,15665.605,6722.1846,59760.42,17107.309,4796.388,6303.954,11486.427,21784.238,28660.668,9110.007,12851.027,5913.2627,7676.877,10300.082,16638.184,5148.1523,17100.451,84748.164,5980.376,43430.36,93374.6,13135.273,23792.916,17247.568,11859.432,10566.725,17063.879,4836.7866,4470.735,36067.316,35362.176,10084.545,8863.691,38682.082,14644.034,9636.246,14524.536,7285.71,5418.2812,19049.53,5843.422,3853.792
7047,179.055315376878,16.977894,168186.98,173189.7,182112.12,210340.61,156289.5,155683.62,203796,222544.94,181399.5,205565.75,213253.44,182680.88,204731.7,163276.3,203727.77,180119.64,158113,184357.22,132187.31,196520.36,204360.14,176242.11,199277.86,210909.56,169433.45,206563.34,201835.84,176811.66,203533.8,189284.92,196232.72,193149.5,164100.94,205895.34,156302.05,159701.25,182258.88,212167.22,211580.81,186648.1,154484.86,182533.42,197181
6338,182.046371118536,16.745245,148898.12,130128.47,71166.72,58155.9,108779.59,94973.61,39675.824,6696.3076,67163.62,174012.1,68513.59,62504.387,11556.333,38036.4,74986.78,58607.81,64720.383,136577.1,26966.883,60848.156,74624.6,109755.94,32534.91,73529.85,39770.35,93077.305,107984.81,55287.594,62552.38,127003.98,33526.234,7043.5005,43716.26,52959.363,151187.88,152294.38,56069.49,8172.204,19367.87,34862.53,218876.48,98639.5,103679.734
5075,182.046393620231,16.173647,19720.924,7464.5454,44034.844,4559.2627,16951.01,14009.776,49883.973,15266.808,15570.089,10066.477,4425.4385,8727.6875,138649.8,44986.234,47770.336,45723.49,34203.516,236991.19,112817.04,44600.875,43651.355,212563.39,10193.6455,15020.691,135229.61,7252.945,242828.6,27034.55,49428.69,11279.226,6689.898,13459.876,4688.8896,19854.457,84985.42,16210.054,18240.867,58253.273,14433.054,5678.546,119474.77,284395.97,30959.803
