row.ID,row.m.z,row.retention.time,p_value,statistic,p_adjusted_BH,mean_change_group1,mean_change_group2,log2_fold_change_of_change,significance,label
2313,325.2015796,12.826956,0.437942823,35,1,-1.13E-05,-3.58E-07,-4.980517788,Not Significant,NA
2405,343.212607,13.314944,0.437942823,55,1,-1.63E-06,-2.61E-05,3.995321792,Not Significant,NA
7256,377.0856433,17.170242,0.437942823,35,1,-1.40E-05,6.19E-06,1.171862192,Not Significant,NA
6809,393.171843,16.92453,0.437942823,35,1,-0.000120854,-7.29E-05,-0.729350298,Not Significant,NA
90,394.8905781,0.5539402,0.437942823,55,1,-5.67E-06,-1.34E-05,1.24082416,Not Significant,NA
2263,415.2339146,12.567797,0.437942823,55,1,1.01E-05,-4.46E-05,-2.139831041,Not Significant,NA
121,462.8783923,0.55414855,0.437942823,55,1,-5.41E-07,-4.38E-06,3.020320565,Not Significant,NA
132,530.8654632,0.55501366,0.437942823,55,1,-9.75E-07,-3.11E-06,1.675291519,Not Significant,NA
6205,66.00830729,16.726099,0.487668353,54,1,4.63E-05,-0.00013032,-1.49200158,Not Significant,NA
4014,106.0396948,15.965446,0.487668353,54,1,-0.00414193,-0.027869515,2.750312963,Not Significant,NA
3382,122.0347275,15.429183,0.487668353,36,1,-2.51E-06,2.49E-05,-3.312422064,Not Significant,NA
5891,132.0555298,16.623154,0.487668353,54,1,2.31E-05,-0.000833938,-5.17414763,Not Significant,NA
6624,132.0555431,16.85475,0.487668353,54,1,0.000203453,-0.00026323,-0.371611744,Not Significant,NA
5591,132.055534,16.402758,0.487668353,36,1,-0.000154805,-2.60E-05,-2.575678611,Not Significant,NA
3977,135.0664412,15.844443,0.487668353,54,1,-0.000109125,-0.000341045,1.643996619,Not Significant,NA
4189,161.0822745,15.845567,0.487668353,54,1,4.03E-05,1.19E-05,-1.763900142,Not Significant,NA
5319,169.0510643,16.285364,0.487668353,54,1,3.42E-05,-2.32E-05,0.559212712,Not Significant,NA
4842,170.0462974,16.079144,0.487668353,54,1,0.00016713,-7.62E-06,4.45524332,Not Significant,NA
5688,186.0777309,16.335072,0.487668353,54,1,0.000484983,9.05E-05,-2.422693202,Not Significant,NA
4903,186.1127638,16.047865,0.487668353,54,1,-2.00E-05,-4.39E-05,1.135890467,Not Significant,NA
1601,186.1128264,6.253941,0.487668353,54,1,-5.85E-05,-0.000310842,2.408948218,Not Significant,NA
3503,225.0889572,15.505306,0.487668353,36,1,1.25E-05,2.58E-05,1.044318305,Not Significant,NA
4472,225.0889771,16.07421,0.487668353,54,1,4.35E-05,-2.68E-05,0.700140176,Not Significant,NA
4975,226.0842639,16.128382,0.487668353,54,1,1.89E-05,3.31E-05,0.806477463,Not Significant,NA
4864,238.0843685,16.119438,0.487668353,54,1,4.06E-05,1.32E-05,-1.618272897,Not Significant,NA
2390,239.1286581,13.268183,0.487668353,54,1,1.29E-05,-3.19E-05,-1.304387469,Not Significant,NA
4103,252.1001844,15.979933,0.487668353,54,1,-1.79E-05,-1.54E-06,-3.540135462,Not Significant,NA
2456,309.0744858,13.559451,0.487668353,54,1,2.06E-07,1.51E-08,-3.686462685,Not Significant,NA
5880,325.1841871,16.405966,0.487668353,36,1,-0.003591994,-7.39E-05,-5.603113238,Not Significant,NA
2250,471.127174,12.529706,0.487668353,54,1,2.44E-07,-8.66E-08,1.515787022,Not Significant,NA
3564,83.0236203,15.6313,0.540291375,37,1,0.001016873,0.003270888,1.685541978,Not Significant,NA
5776,107.034999,16.478008,0.540291375,53,1,0.000476533,0.000297878,-0.677852925,Not Significant,NA
6724,118.0397702,16.699055,0.540291375,37,1,0.000100911,0.000918019,3.185421809,Not Significant,NA
4862,134.0348134,16.166395,0.540291375,37,1,-0.000542102,-0.000137632,-1.97775568,Not Significant,NA
5044,141.0195603,16.290783,0.540291375,53,1,0.000234939,-7.21E-05,1.703587404,Not Significant,NA
