row_ID,mz,retention_time,p_value,statistic,n_samples,p_adjusted_BH,p_adjusted_Bonferroni,effect_size,mean_group1,mean_group2,mean_change_difference,fold_change,log2_fold_change
7099,426.125524690466,16.998207,0.5956108994757298,52,19,1,1,0.15555555555555545,-5.801295538667019e-6,-1.3625281248770688e-5,-7.823985710103668e-6,NA,NA
6723,106.039693697103,16.65259,0.6533789106936936,51,19,1,1,0.1333333333333333,0.007205055647745494,-0.00224494484834843,-0.009450000496093923,NA,NA
2738,106.039698029894,14.479559,0.6533789106936936,51,19,1,1,0.1333333333333333,-1.5528398981775698e-4,-2.1595477485811127e-6,1.5312444206917587e-4,NA,NA
5318,118.039790167728,16.285599,0.6533789106936936,51,19,1,1,0.1333333333333333,1.9659521317488e-5,-3.640610075476989e-4,-3.837205288651869e-4,NA,NA
6554,124.01397729965,16.776573,0.6533789106936936,39,19,1,1,-0.1333333333333333,-4.081837029675238e-5,-8.320775211516502e-6,3.249759508523588e-5,NA,NA
6179,133.050777027647,16.641531,0.6533789106936936,39,19,1,1,-0.1333333333333333,6.97577585333245e-4,0.0011252157425483966,4.2763815721515164e-4,NA,NA
6317,145.050835404205,16.67332,0.6533789106936936,39,19,1,1,-0.1333333333333333,0.0010532828694283084,0.0019367363238873563,8.834534544590478e-4,NA,NA
6106,145.922523793737,16.627743,0.6533789106936936,51,19,1,1,0.1333333333333333,2.384167855589931e-4,-3.516357143999355e-4,-5.900524999589286e-4,NA,NA
6686,157.050954866144,16.686121,0.6533789106936936,51,19,1,1,0.1333333333333333,0.0011152181103792319,-1.618423237614445e-4,-0.0012770604341406763,NA,NA
3255,163.061580007217,15.303174,0.6533789106936936,51,19,1,1,0.1333333333333333,-5.5205628049462965e-5,-8.242138293810003e-5,-2.7215754888637063e-5,NA,NA
3372,171.06671292287,15.502273,0.6533789106936936,51,19,1,1,0.1333333333333333,-1.359086797113406e-5,-2.5114217006442523e-5,-1.1523349035308463e-5,NA,NA
5669,171.066715688952,16.432941,0.6533789106936936,51,19,1,1,0.1333333333333333,-9.372593172416648e-5,-4.395101775860033e-4,-3.457842458618368e-4,NA,NA
4504,171.066715434742,16.072403,0.6533789106936936,51,19,1,1,0.1333333333333333,4.094949615447719e-4,1.515672639394256e-4,-2.5792769760534635e-4,NA,NA
7047,179.055315376878,16.977894,0.6533789106936936,51,19,1,1,0.1333333333333333,-4.889907186770099e-5,-1.162214020911656e-4,-6.732233022346461e-5,NA,NA
6948,186.077739505834,16.90869,0.6533789106936936,51,19,1,1,0.1333333333333333,-4.6286312739218207e-5,-3.852147480368112e-5,7.764837935537087e-6,NA,NA
6498,195.933618090951,16.75006,0.6533789106936936,51,19,1,1,0.1333333333333333,4.731982908210603e-5,-1.8642411717513665e-4,-2.3374394625724266e-4,NA,NA
6430,210.077922933136,16.68647,0.6533789106936936,39,19,1,1,-0.1333333333333333,-3.725100043685506e-6,4.588149068134292e-5,4.960659072502842e-5,NA,NA
5742,211.07319496125,16.439201,0.6533789106936936,51,19,1,1,0.1333333333333333,2.1479830051515327e-5,-8.715331546243282e-6,-3.019516159775861e-5,NA,NA
2065,215.128386843288,10.627636,0.6533789106936936,39,19,1,1,-0.1333333333333333,-9.0969246888156e-5,-9.62799396763789e-5,-5.310692788222895e-6,NA,NA
2098,227.128513783384,11.202834,0.6533789106936936,51,19,1,1,0.1333333333333333,-3.602383273202299e-5,-3.476281588671334e-5,1.2610168453096527e-6,NA,NA
6137,252.100158670043,16.645685,0.6533789106936936,51,19,1,1,0.1333333333333333,4.449597294326701e-5,-3.5795095839006665e-5,-8.029106878227368e-5,NA,NA
4658,265.147891747623,16.07208,0.6533789106936936,51,19,1,1,0.1333333333333333,-1.59894317624427e-4,-2.0364936677302891e-4,-4.375504914860191e-5,NA,NA
2339,293.175968265563,12.948267,0.6533789106936936,51,19,1,1,0.1333333333333333,-6.935216590153701e-5,-2.072743206857334e-4,-1.3792215478419638e-4,NA,NA
6114,325.184189802769,16.618431,0.6533789106936936,51,19,1,1,0.1333333333333333,-3.0038137035561104e-4,-5.914165135008401e-4,-2.910351431452291e-4,NA,NA
7162,336.858881116837,17.04177,0.6533789106936936,51,19,1,1,0.1333333333333333,-2.9941403530710497e-4,-4.8427074553595233e-4,-1.8485671022884737e-4,NA,NA
7146,338.859125547296,17.031294,0.6533789106936936,51,19,1,1,0.1333333333333333,-8.907675998376201e-5,-1.4100513120941669e-4,-5.1928371225654676e-5,NA,NA
1480,352.853660193092,3.5539572,0.6533789106936936,39,19,1,1,-0.1333333333333333,-9.80353199504198e-4,-0.0011319180062721202,-1.5156480676792208e-4,NA,NA
5514,491.358961747302,16.403982,0.6533789106936936,51,19,1,1,0.1333333333333333,3.590794259262461e-8,-1.8156787642691977e-7,-2.1747581901954437e-7,NA,NA
4818,499.363883626206,16.085169,0.6533789106936936,51,19,1,1,0.1333333333333333,-9.30582502500616e-6,-1.0459220322417268e-5,-1.1533952974111075e-6,NA,NA
2944,585.343382517854,14.926218,0.6533789106936936,39,19,1,1,-0.1333333333333333,5.703470319421524e-5,1.1657331507086997e-4,5.953861187665473e-5,NA,NA
6441,99.9243857264828,16.872686,0.7133031738784575,50,19,1,1,0.11111111111111116,6.248345269230511e-5,-5.545446135802334e-4,-6.170280662725385e-4,NA,NA
3267,107.034987400118,15.282515,0.7133031738784575,50,19,1,1,0.11111111111111116,2.81823964731227e-4,2.9000498123376444e-4,8.181016502537464e-6,NA,NA
4929,107.034989531831,16.056097,0.7133031738784575,50,19,1,1,0.11111111111111116,6.970471336495608e-5,-7.090830600002145e-4,-7.787877733651706e-4,NA,NA
5283,107.034999540565,16.291113,0.7133031738784575,50,19,1,1,0.11111111111111116,2.91260301957374e-4,-1.9052415516562551e-4,-4.8178445712299947e-4,NA,NA
5520,108.018976070027,16.447096,0.7133031738784575,50,19,1,1,0.11111111111111116,-8.167284220952689e-5,-1.0661015723664665e-4,-2.4937315027119756e-5,NA,NA
4275,132.055531788078,15.863217,0.7133031738784575,40,19,1,1,-0.11111111111111116,3.0720279502467805e-4,9.289187601177527e-4,6.217159650930747e-4,NA,NA
6884,141.019557381387,16.891972,0.7133031738784575,40,19,1,1,-0.11111111111111116,7.13181946493832e-4,-1.349350103857933e-4,-8.481169568796253e-4,NA,NA
4024,144.055638501622,15.755612,0.7133031738784575,40,19,1,1,-0.11111111111111116,9.667215701419442e-5,2.0009020045427093e-4,1.034180434400765e-4,NA,NA
3598,163.061581262293,15.516209,0.7133031738784575,50,19,1,1,0.11111111111111116,-6.390070923925105e-5,-1.0638621700359659e-4,-4.248550776434554e-5,NA,NA
5728,191.056693097939,16.390966,0.7133031738784575,50,19,1,1,0.11111111111111116,-2.1803294669114014e-5,-3.6836921416051567e-4,-3.4656591949140165e-4,NA,NA
5762,196.06216620668,16.497673,0.7133031738784575,50,19,1,1,0.11111111111111116,3.634727605472561e-5,-2.698463833543531e-5,-6.333191439016091e-5,NA,NA
1793,209.078935864069,7.9760857,0.7133031738784575,50,19,1,1,0.11111111111111116,-4.376349166743994e-6,-1.888368343309665e-5,-1.4507334266352657e-5,NA,NA
4659,210.077937061296,16.06532,0.7133031738784575,50,19,1,1,0.11111111111111116,4.866655203945407e-5,4.3683403326912885e-6,-4.4298211706762786e-5,NA,NA
5876,238.084360763145,16.495638,0.7133031738784575,50,19,1,1,0.11111111111111116,8.403217779634369e-6,5.896438955187609e-6,-2.5067788244467596e-6,NA,NA
2326,241.144323316892,12.893961,0.7133031738784575,50,19,1,1,0.11111111111111116,1.1010280512306994e-5,-3.741788350662234e-6,-1.4752068862969228e-5,NA,NA
2258,243.160012389669,12.556413,0.7133031738784575,50,19,1,1,0.11111111111111116,-2.612566999701699e-5,-5.244329288120223e-5,-2.6317622884185236e-5,NA,NA
2452,266.103438525446,13.537824,0.7133031738784575,50,19,1,1,0.11111111111111116,-5.08035623029e-6,-1.5567605598358887e-5,-1.0487249368068888e-5,NA,NA
4305,309.174141485331,16.038387,0.7133031738784575,40,19,1,1,-0.11111111111111116,-3.450187789952752e-4,-6.097180469966675e-5,2.840469742956084e-4,NA,NA
2436,313.238558129164,13.42539,0.7133031738784575,50,19,1,1,0.11111111111111116,-5.958483792651488e-6,-3.140766736667778e-5,-2.5449183574026294e-5,NA,NA
7391,336.858824795096,17.394886,0.7133031738784575,50,19,1,1,0.11111111111111116,-3.42550503780793e-4,-3.7307670012335e-4,-3.052619634255697e-5,NA,NA
7147,340.854293550586,17.032932,0.7133031738784575,40,19,1,1,-0.11111111111111116,-4.507994935765972e-5,-2.979219721636618e-5,1.528775214129354e-5,NA,NA
3438,356.129591246231,15.441361,0.7133031738784575,50,19,1,1,0.11111111111111116,-3.6209983651588864e-5,-6.795135656462368e-5,-3.1741372913034816e-5,NA,NA
7113,387.114668338311,17.00316,0.7133031738784575,50,19,1,1,0.11111111111111116,-8.315402889183297e-5,-3.257188899090434e-4,-2.425648610172104e-4,NA,NA
6543,491.358787958105,16.869461,0.7133031738784575,40,19,1,1,-0.11111111111111116,-3.6506176858002325e-7,-2.3837973964203374e-7,1.266820289379895e-7,NA,NA
2364,587.307338657101,13.069157,0.7133031738784575,50,19,1,1,0.11111111111111116,-9.410359999927444e-6,-1.7013440778830086e-5,-7.603080778902642e-6,NA,NA
4497,90.0083387157839,16.111357,0.7750513736700824,41,19,1,1,-0.0888888888888889,8.156651716949694e-5,9.03104117233222e-4,8.215376000637251e-4,NA,NA
